path,description
/HE/HE0202/HE0202T15,"""Household finances"", ""Housing Costs"", ""Expenses and shares of total housing expenditures, tenant-owned dwellings by useful floor space, type of household and age of the head of household. Year 2015 - 2021"""
/HE/HE0202/HE0202T16,"""Household finances"", ""Housing Costs"", ""Expenses and shares of total housing expenditures, rented dwellings by useful floor space, type of household and age of the head of household. Year 2015 - 2021"""
/JO/JO0106/ForetagStorlekK,"""Agriculture, forestry and fishery"", ""Holdings and holders in agriculture"", ""Agricultural enterprises by municipality and size class. Year 1981, 1985, 1989-2000, 2003 1981 - 2007"""
/JO/JO0106/ForetagStorlekL,"""Agriculture, forestry and fishery"", ""Holdings and holders in agriculture"", ""Agricultural enterprises by county/country and size class. Year 1981 -2000, 2003, 2005, 2007 1981 - 2007"""
/JO/JO0106/ForetagFormL,"""Agriculture, forestry and fishery"", ""Holdings and holders in agriculture"", ""Agricultural enterprises by county/country and juridical form. Year 1981-2000, 2003, 2005 1981 - 2007"""
/JO/JO0106/ForetagareAlder8195,"""Agriculture, forestry and fishery"", ""Holdings and holders in agriculture"", ""Agricultural enterprise farmers by county/country and age. Year 1981-1995 1981 - 1995"""
/JO/JO0106/ForetagareAlder96,"""Agriculture, forestry and fishery"", ""Holdings and holders in agriculture"", ""Agricultural enterprise farmers by county/country and age. Year 1996-2003 1996 - 2007"""
/JO/JO0103/HusdjurK,"""Agriculture, forestry and fishery"", ""Farm animals"", ""Livestock by municipality and type of animal. Year 1981, 1985, 1989-1995, 1999, 2003 1981 - 2007"""
/JO/JO0103/HusdjurL,"""Agriculture, forestry and fishery"", ""Farm animals"", ""Livestock by county/country and type of animal. Year 1981 - 2007"""
/JO/JO0104/AkerArealGrodaK,"""Agriculture, forestry and fishery"", ""Use of agricultural land"", ""Use of arable land by municipality and crop. Year 1981, 1985, 1989-1995, 1999- 1981 - 2007"""
/JO/JO0104/AkerArealGrodaL,"""Agriculture, forestry and fishery"", ""Use of agricultural land"", ""Use of arable land by county/country and crop. Year 1981 - 2007"""
/JO/JO0104/AgoslagArealK,"""Agriculture, forestry and fishery"", ""Use of agricultural land"", ""Type of land area by municipality. Year 1981, 1985, 1989-1999 1981 - 1999"""
/JO/JO0104/AgoslagArealL,"""Agriculture, forestry and fishery"", ""Use of agricultural land"", ""Type of land area by county/country. Year 1981-1999, 2003- 1981 - 2007"""
/JO/JO0601/SkordarL2,"""Agriculture, forestry and fishery"", ""Production of cereals, dried pulses and oilseeds"", ""Yield per hectar and total production in regions/country for different crops. Yearly data 1965 - 2023"""
/ME/ME0110/ME0110T01,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among all those entitled to vote by sex and age (Survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T04,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden by sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T03,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens residing abroad by sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T02,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among foreign citizens registered in Sweden by sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T05,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden by region, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T15,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden by country of birth, sex and age (survey). Election year 2004 - 2014"""
/ME/ME0110/ME0110T16,"""Democracy"", ""European Parliament election, participation survey"", ""European Parliament election. Voting rates among Swedish citizens registered in Sweden by foreign/Swedish background and sex (survey). Election year 2004 - 2014"""
